text,language
"Climate change is causing global temperatures to rise significantly.","en"
"The IPCC report warns of catastrophic consequences if emissions are not cut.","en"
"Renewable energy sources like solar and wind are essential for the future.","en"
"Arctic ice is melting at an unprecedented rate according to scientists.","en"
"Carbon dioxide levels in the atmosphere have reached a new record high.","en"
"Extreme weather events are becoming more frequent due to global warming.","en"
"Protecting biodiversity is crucial for maintaining ecosystem balance.","en"
"Sustainable development goals aim to address environmental challenges.","en"
"Ocean acidification is threatening marine life and coral reefs worldwide.","en"
"Forest conservation plays a major role in sequestering carbon emissions.","en"
"يؤدي تغير المناخ إلى ارتفاع درجات الحرارة العالمية بشكل ملحوظ.","ar"
"يحذر تقرير الهيئة الحكومية الدولية المعنية بتغير المناخ من عواقب كارثية.","ar"
"مصادر الطاقة المتجددة مثل الشمس والرياح ضرورية للمستقبل.","ar"
"يذوب الجليد في القطب الشمالي بمعدل غير مسبوق وفقاً للعلماء.","ar"
"وصلت مستويات ثاني أكسيد الكربون في الغلاف الجوي إلى رقم قياسي جديد.","ar"
"أصبحت الظواهر الجوية المتطرفة أكثر تكراراً بسبب الاحتباس الحراري.","ar"
"حماية التنوع البيولوجي أمر بالغ الأهمية للحفاظ على توازن النظام البيئي.","ar"
"تهدف أهداف التنمية المستدامة إلى معالجة التحديات البيئية.","ar"
"تحمض المحيطات يهدد الحياة البحرية والشعاب المرجانية في جميع أنحاء العالم.","ar"
"يلعب الحفاظ على الغابات دوراً رئيسياً في عزل انبعاثات الكربون.","ar"
